CardID,Name,TotalCopies,AveragePrice,LastPrice,ModelAccuracy,BuyTarget
14,Bloodstained Mire,365,3.900370370370371,3.9,98.34845678108951,True
16,"Boseiju, Who Endures",511,16.616296296296294,15.45,95.74750873760763,True
35,Dragon's Rage Channeler,263,1.7362962962962958,1.41,95.68213259813331,True
44,Fable of the Mirror-Breaker,423,8.845555555555555,6.76,79.65429026407405,True
82,Mishra's Bauble,280,5.829629629629629,5.07,84.61981696684107,True
91,Murktide Regent,236,11.024074074074074,9.77,86.65082905316777,True
97,"Otawara, Soaring City",226,3.074444444444445,2.56,95.9946006255767,True
103,Polluted Delta,334,7.871111111111111,8.91,98.55882683695675,True
115,Scalding Tarn,293,3.796666666666667,3.53,90.3010690296057,True
151,Thoughtseize,631,3.5840740740740733,3.32,93.93047113126241,True
164,Urza's Saga,346,22.789999999999996,22.49,96.40082837902511,True
165,Verdant Catacombs,464,2.104444444444445,2.1,99.3530674623341,True
170,Windswept Heath,191,3.660740740740741,3.53,95.8187173322602,True
172,Wooded Foothills,375,4.861851851851852,4.36,94.10966366071928,True
175,Agatha's Soul Cauldron,252,35.559259259259264,19.74,93.37913448828552,True
205,Flame of Anor,231,1.1077777777777778,0.98,94.252166136646,True
229,Ledger Shredder,103,4.035185185185186,2.32,89.09062081691552,True
231,Leyline Binding,276,8.134814814814817,7.96,94.9463850669351,True
236,Mutavault,139,1.4455555555555553,0.94,97.73070606514504,True
249,"Ragavan, Nimble Pilferer",653,10.51851851851852,9.66,93.32220256437657,True
257,"Sheoldred, the Apocalypse",320,22.829629629629633,17.74,93.16072192825604,True
261,Spirebluff Canal,236,5.459629629629631,3.96,74.06719165424403,True
269,Subtlety,472,20.895555555555553,18.99,98.55931609011043,True
271,"Takenuma, Abandoned Mire",161,1.9451851851851854,2.1,96.13529503674873,True
277,Tishana's Tidebinder,329,36.315925925925924,23.99,84.5018082118536,True
284,Walking Ballista,125,1.468148148148148,1.26,85.78486822158676,True
511,Brotherhood's End,125,3.733703703703703,2.69,65.34169351911343,True
566,"Karn, the Great Creator",139,2.191111111111111,1.75,76.58430591205524,True
656,Dryad of the Ilysian Grove,114,3.8370370370370375,2.61,83.78863919560118,True
944,Flusterstorm,213,8.818518518518518,8.44,96.34530432852542,True
1017,Leyline of the Void,304,1.4951851851851854,1.31,95.29030720464284,True
1284,Force of Vigor,429,11.273333333333332,9.51,93.2263911079177,True
